,temp,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,temp_kf,id,main,description,icon,speed,deg,gust,dt,dt_txt,clouds,visibility,day
0,-3.55,-9.34,-3.55,-0.55,1004,1004,984,78,-3.0,800,Clear,clear sky,01d,4.98,153,9.7,1705492800,2024-01-17 12:00:00,0,10000,17
1,-2.41,-7.92,-2.41,-0.14,1001,1001,980,81,-2.27,802,Clouds,scattered clouds,03d,4.98,142,9.72,1705503600,2024-01-17 15:00:00,33,10000,17
2,-0.94,-5.96,-0.94,0.37,996,996,978,86,-1.31,600,Snow,light snow,13n,4.79,160,9.71,1705514400,2024-01-17 18:00:00,67,7080,17
3,1.51,-3.22,1.51,1.51,989,989,975,88,0.0,500,Rain,light rain,10n,5.36,172,10.7,1705525200,2024-01-17 21:00:00,100,10000,17
4,2.38,0.24,2.38,2.38,987,987,973,95,0.0,500,Rain,light rain,10n,2.07,199,4.45,1705536000,2024-01-18 00:00:00,100,10000,18
5,2.37,2.37,2.37,2.37,987,987,973,96,0.0,804,Clouds,overcast clouds,04n,1.29,223,3.08,1705546800,2024-01-18 03:00:00,100,10000,18
6,1.43,-1.65,1.43,1.43,990,990,975,98,0.0,500,Rain,light rain,10n,2.85,315,7.83,1705557600,2024-01-18 06:00:00,100,10000,18
7,0.46,-3.29,0.46,0.46,992,992,977,98,0.0,600,Snow,light snow,13d,3.41,308,6.72,1705568400,2024-01-18 09:00:00,100,53,18
8,0.09,-3.64,0.09,0.09,993,993,978,98,0.0,600,Snow,light snow,13d,3.29,326,5.87,1705579200,2024-01-18 12:00:00,100,262,18
9,-0.76,-5.53,-0.76,-0.76,995,995,980,96,0.0,600,Snow,light snow,13d,4.46,332,7.28,1705590000,2024-01-18 15:00:00,100,410,18
10,-1.16,-5.82,-1.16,-1.16,998,998,984,98,0.0,601,Snow,snow,13n,4.15,325,8.2,1705600800,2024-01-18 18:00:00,100,150,18
11,-1.13,-6.23,-1.13,-1.13,1003,1003,988,94,0.0,600,Snow,light snow,13n,4.84,294,9.59,1705611600,2024-01-18 21:00:00,100,10000,18
12,-3.09,-8.8,-3.09,-3.09,1007,1007,992,92,0.0,804,Clouds,overcast clouds,04n,5.03,283,11.3,1705622400,2024-01-19 00:00:00,89,10000,19
13,-4.6,-10.86,-4.6,-4.6,1010,1010,995,88,0.0,802,Clouds,scattered clouds,03n,5.29,284,11.98,1705633200,2024-01-19 03:00:00,29,10000,19
14,-5.39,-10.31,-5.39,-5.39,1012,1012,997,91,0.0,801,Clouds,few clouds,02n,3.33,269,9.11,1705644000,2024-01-19 06:00:00,21,10000,19
15,-2.47,-7.26,-2.47,-2.47,1014,1014,999,84,0.0,800,Clear,clear sky,01d,3.92,263,12.85,1705654800,2024-01-19 09:00:00,7,10000,19
16,-0.18,-5.63,-0.18,-0.18,1015,1015,1000,81,0.0,800,Clear,clear sky,01d,5.9,275,12.32,1705665600,2024-01-19 12:00:00,8,10000,19
17,-1.49,-6.57,-1.49,-1.49,1017,1017,1002,84,0.0,800,Clear,clear sky,01d,4.66,276,9.97,1705676400,2024-01-19 15:00:00,7,10000,19
18,-4.2,-8.69,-4.2,-4.2,1020,1020,1005,91,0.0,800,Clear,clear sky,01n,3.14,253,6.98,1705687200,2024-01-19 18:00:00,10,10000,19
19,-4.06,-9.29,-4.06,-4.06,1023,1023,1007,89,0.0,801,Clouds,few clouds,02n,4.02,264,10.48,1705698000,2024-01-19 21:00:00,16,10000,19
20,-3.21,-8.45,-3.21,-3.21,1025,1025,1009,89,0.0,801,Clouds,few clouds,02n,4.3,260,10.23,1705708800,2024-01-20 00:00:00,23,10000,20
21,-4.84,-9.29,-4.84,-4.84,1026,1026,1011,91,0.0,800,Clear,clear sky,01n,2.98,247,7.65,1705719600,2024-01-20 03:00:00,9,10000,20
22,-5.12,-9.94,-5.12,-5.12,1028,1028,1013,87,0.0,800,Clear,clear sky,01n,3.29,235,8.33,1705730400,2024-01-20 06:00:00,7,10000,20
23,-2.44,-7.54,-2.44,-2.44,1029,1029,1014,81,0.0,800,Clear,clear sky,01d,4.36,228,11.77,1705741200,2024-01-20 09:00:00,8,10000,20
24,0.31,-4.33,0.31,0.31,1029,1029,1014,78,0.0,801,Clouds,few clouds,02d,4.67,243,12.39,1705752000,2024-01-20 12:00:00,11,10000,20
25,-1.96,-6.55,-1.96,-1.96,1030,1030,1015,81,0.0,800,Clear,clear sky,01d,3.82,247,8.43,1705762800,2024-01-20 15:00:00,8,10000,20
26,-4.28,-8.71,-4.28,-4.28,1032,1032,1017,84,0.0,800,Clear,clear sky,01n,3.07,232,7.56,1705773600,2024-01-20 18:00:00,6,10000,20
27,-5.69,-9.52,-5.69,-5.69,1032,1032,1017,86,0.0,800,Clear,clear sky,01n,2.31,230,4.36,1705784400,2024-01-20 21:00:00,5,10000,20
28,-6.61,-9.59,-6.61,-6.61,1033,1033,1017,88,0.0,800,Clear,clear sky,01n,1.66,200,1.67,1705795200,2024-01-21 00:00:00,5,10000,21
29,-7.16,-10.99,-7.16,-7.16,1033,1033,1017,89,0.0,801,Clouds,few clouds,02n,2.13,173,2.09,1705806000,2024-01-21 03:00:00,14,10000,21
30,-6.41,-10.98,-6.41,-6.41,1032,1032,1016,81,0.0,802,Clouds,scattered clouds,03n,2.8,159,3.33,1705816800,2024-01-21 06:00:00,30,10000,21
31,-3.41,-7.67,-3.41,-3.41,1032,1032,1017,73,0.0,802,Clouds,scattered clouds,03d,3.07,167,5.91,1705827600,2024-01-21 09:00:00,50,10000,21
32,-0.03,-4.04,-0.03,-0.03,1030,1030,1015,72,0.0,803,Clouds,broken clouds,04d,3.62,164,8.05,1705838400,2024-01-21 12:00:00,75,10000,21
33,-1.6,-6.3,-1.6,-1.6,1029,1029,1014,75,0.0,804,Clouds,overcast clouds,04d,4.07,150,8.29,1705849200,2024-01-21 15:00:00,100,10000,21
34,-2.13,-7.28,-2.13,-2.13,1028,1028,1013,74,0.0,804,Clouds,overcast clouds,04n,4.54,152,8.94,1705860000,2024-01-21 18:00:00,100,10000,21
35,-3.53,-9.84,-3.53,-3.53,1026,1026,1010,71,0.0,803,Clouds,broken clouds,04n,5.84,161,12.86,1705870800,2024-01-21 21:00:00,72,10000,21
36,-3.36,-9.11,-3.36,-3.36,1024,1024,1009,70,0.0,802,Clouds,scattered clouds,03n,4.98,167,10.09,1705881600,2024-01-22 00:00:00,44,10000,22
37,-3.57,-9.9,-3.57,-3.57,1020,1020,1005,71,0.0,800,Clear,clear sky,01n,5.86,166,12.37,1705892400,2024-01-22 03:00:00,1,10000,22
38,-2.2,-8.95,-2.2,-2.2,1016,1016,1001,67,0.0,802,Clouds,scattered clouds,03n,7.45,167,14.61,1705903200,2024-01-22 06:00:00,32,10000,22
39,-0.39,-6.46,-0.39,-0.39,1015,1015,1000,68,0.0,804,Clouds,overcast clouds,04d,7.09,179,14.12,1705914000,2024-01-22 09:00:00,100,10000,22
